Address,Price,Parcel,Date
2910 Turbot Dr,195000,60903206113,2012-07-01
2914 Turbot Dr,195000,60903206105,2015-08-01
2918 Turbot Dr,242000,60903206098,2005-08-01
2922 Turbot Dr,192500,60903206080,2016-10-01
2922 Turbot Dr,200000,60903206080,2004-11-01
2952 Turbot Dr,214000,60903206056,2015-11-01
517 Burdette Ct,190000,70936308092,2010-04-01
625 Burdette Ct,258500,70936308050,2016-07-01
625 Burdette Ct,233000,70936308050,2006-05-01
626 Burdette Ct,200000,70936308026,2003-04-01
630 Burdette Ct,204500,70936308034,2011-09-01
426 Moorland Rd,166400,70936302234,2012-07-01
536 Moorland Rd,220000,70936302185,2017-07-01
2905 Salem Dr,197000,70936303133,2016-09-01
4805 Dutch Mill Rd,145000,71022304035,2004-11-01
6306 Offshore Dr,307500,70824411212,2015-08-01
6306 Offshore Dr,275000,70824411212,2003-07-01
6314 Offshore Dr,333000,70824411197,2004-08-01
6422 Offshore Dr,311200,70824403152,2016-05-01
5517 Lynwood Dr,265000,70918309034,2017-10-01
2 Dunraven Ct,387000,70824306140,2017-10-01
6 Dunraven Ct,255900,70824306158,2003-08-01
9 Dunraven Ct,340500,70824306174,2015-03-01
9 Dunraven Ct,309000,70824306174,2003-11-01
10 Dunraven Ct,268500,70824306166,2014-06-01
10 Dunraven Ct,238900,70824306166,2004-01-01
137 S Yellowstone Dr,291000,70824304152,2007-05-01
302 S Yellowstone Dr,350000,70824306190,2006-07-01
7653 Farmington Way,250000,70823202224,2002-01-01
7705 Old Sauk Rd,335000,70823202240,2005-01-01
322 Oldfield Rd,273500,70823115039,2009-12-01
7413 Whitacre Rd,330000,70823115021,2005-06-01
7417 Whitacre Rd,330000,70823115013,2005-09-01
5015 Manitowoc Pkwy,320000,70919414105,2016-05-01
5015 Manitowoc Pkwy,287000,70919414105,2008-04-01
5021 Manitowoc Pkwy,230000,70919414113,2009-08-01
5105 Manitowoc Pkwy,185000,70919412026,2006-09-01
5106 Manitowoc Pkwy,305000,70919411086,2005-07-01
5109 Manitowoc Pkwy,199900,70919412034,2012-07-01
5110 Manitowoc Pkwy,280000,70919411078,2015-09-01
5110 Manitowoc Pkwy,284000,70919411078,2005-11-01
5110 Manitowoc Pkwy,194000,70919411078,2002-08-01
5113 Manitowoc Pkwy,291500,70919412042,2005-10-01
5113 Manitowoc Pkwy,279900,70919412042,2004-12-01
5114 Manitowoc Pkwy,245000,70919411060,2006-06-01
5117 Manitowoc Pkwy,302500,70919412050,2016-08-01
5117 Manitowoc Pkwy,273000,70919412050,2005-08-01
5118 Manitowoc Pkwy,299900,70919411052,2016-07-01
5118 Manitowoc Pkwy,165500,70919411052,2014-11-01
5121 Manitowoc Pkwy,302500,70919412068,2004-06-01
5121 Manitowoc Pkwy,230000,70919412068,2003-04-01
5201 Manitowoc Pkwy,262000,70919412076,2015-10-01
5201 Manitowoc Pkwy,250000,70919412076,2005-08-01
5206 Manitowoc Pkwy,255500,70919411028,2006-05-01
5206 Manitowoc Pkwy,207500,70919411028,2002-01-01
5218 Manitowoc Pkwy,285000,70919411333,2006-11-01
5302 Manitowoc Pkwy,295900,70919411325,2013-06-01
5306 Manitowoc Pkwy,306000,70919411317,2007-05-01
5306 Manitowoc Pkwy,270000,70919411317,2004-05-01
5309 Manitowoc Pkwy,270000,70919412141,2011-01-01
5309 Manitowoc Pkwy,311000,70919412141,2005-11-01
5310 Manitowoc Pkwy,300000,70919411309,2006-01-01
5313 Manitowoc Pkwy,309900,70919412159,2007-01-01
335 Racine Rd,213000,70919414147,2005-01-01
5421 Gettle Ave,165500,70919204019,2004-09-01
206 Merrill Crest Dr,222500,70919110125,2015-08-01
5215 Old Middleton Rd,265000,70919107320,2015-07-01
701 Sky Ridge Dr,365000,70826403332,2006-02-01
777 Sky Ridge Dr,320000,70826403324,2014-07-01
871 Sky Ridge Dr,312000,70826403209,2016-06-01
871 Sky Ridge Dr,330000,70826403209,2005-11-01
897 Sky Ridge Dr,290000,70826403184,2009-01-01
897 Sky Ridge Dr,330000,70826403184,2005-11-01
925 Sky Ridge Dr,265000,70826403150,2002-11-01
3510 Gregory St,389900,70928218100,2014-11-01
2802 Monroe St,260500,70928108202,2015-06-01
2921 Monroe St,225000,70928113053,2002-05-01
2937 Monroe St,325000,70928113095,2016-08-01
2941 Monroe St,270000,70928113102,2003-04-01
718 Western Ave,307700,70928225064,2005-07-01
2118 West Lawn Ave,400000,70922321248,2007-07-01
2118 West Lawn Ave,456800,70922321248,2002-06-01
1119 Bowen Ct,325000,70922414100,2009-01-01
1119 Bowen Ct,322000,70922414100,2003-08-01
1129 Bowen Ct,385000,70922414134,2004-01-01
1327 Bowen Ct,365000,70922412097,2008-04-01
302 S Brooks St,332500,70923308203,2011-06-01
302 S Brooks St,253000,70923308203,2002-07-01
308 S Brooks St,335000,70923308196,2014-01-01
308 S Brooks St,343000,70923308196,2005-09-01
308 S Brooks St,327500,70923308196,2004-02-01
314 S Brooks St,372000,70923308188,2016-07-01
318 S Brooks St,308000,70923308170,2005-09-01
318 S Brooks St,270000,70923308170,2003-01-01
414 S Brooks St,205000,70923309194,2006-05-01
